
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
11E0411: Vimioso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11E0412: Vinhais;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;250;
16: Centro;124;118;119;122;111;106;100;95;96;88;0;1108014;879656;2260630;2423503;1992499;1835230;1589612;1294227;1323318;
16B: Oeste;20;18;19;19;18;20;16;14;14;14;0;254301;198383;264873;572203;343197;250596;202635;192584;199068;
16B1001: Alcobaça;2;2;2;2;2;2;2;2;2;2;0;4794;1568;8011;11680;6944;10888;7899;? ?;2134;
16B1101: Alenquer;3;2;2;2;2;2;1;1;0;0;0;1820;2227;5009;7247;6092;1930;993;0;0;
16B1102: Arruda dos Vinhos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16B1005: Bombarral;0;0;1;1;1;1;1;1;1;1;0;0;? ?;2285;4045;2850;2945;2843;? ?;3041;
16B1104: Cadaval;1;1;1;1;1;1;1;1;1;1;0;1326;560;1662;1205;? ?;5122;1023;? ?;1483;
16B1006: Caldas da Rainha;6;6;6;6;5;6;3;3;4;4;0;35298;28069;94480;60150;80945;70216;58642;54043;51916;
16B1108: Lourinhã;1;1;1;1;1;1;1;1;1;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16B1011: Nazaré;1;1;1;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16B1012: Óbidos;2;2;2;1;1;1;1;1;1;1;0;11382;9045;12519;11080;7307;7877;10766;? ?;7633;
16B1014: Peniche;2;1;2;2;2;3;3;1;1;1;0;4603;3688;14464;? ?;47828;42472;31339;? ?;31497;
16B1112: Sobral de Monte Agraço;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16B1113: Torres Vedras;2;2;1;1;1;1;1;1;1;1;0;23866;16105;49153;31558;31198;9772;10012;? ?;5560;
16D: Região de Aveiro;18;19;18;17;14;14;14;13;12;14;0;165157;111874;387765;337574;308377;273139;203691;177054;245049;
16D0101: Águeda;1;1;1;1;1;1;1;2;1;1;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16D0102: Albergaria-a-Velha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16D0103: Anadia;4;4;3;3;2;2;1;1;1;1;0;24130;13000;50330;? ?;? ?;16658;12275;? ?;6321;
16D0105: Aveiro;2;3;3;3;3;3;3;3;3;4;0;81299;50580;161136;145912;133546;114970;83774;75102;? ?;
16D0108: Estarreja;2;2;2;2;2;2;2;2;2;2;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16D0110: Ílhavo;2;2;2;2;2;2;2;1;1;2;0;? ?;? ?;? ?;? ?;? ?;? ?;78534;? ?;? ?;
16D0112: Murtosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16D0114: Oliveira do Bairro;2;2;2;2;1;1;1;1;1;1;0;421;1255;3844;1032;2522;2783;3293;? ?;2781;
16D0115: Ovar;4;4;4;3;3;3;4;3;3;3;0;6505;4689;? ?;10177;10418;9644;9870;10365;? ?;
16D0117: Sever do Vouga;1;1;1;1;0;0;0;0;0;0;0;856;823;2076;0;0;0;0;0;0;
16D0118: Vagos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E: Região de Coimbra;21;20;19;19;18;18;18;19;17;14;0;206779;308378;826275;825406;738131;734326;659869;431444;444106;
16E0601: Arganil;1;1;0;0;0;0;0;0;0;0;0;? ?;0;0;0;0;0;0;0;0;
16E0602: Cantanhede;1;1;1;1;1;1;1;1;1;1;0;3468;2672;9111;9674;8639;8647;8142;? ?;12690;
16E0603: Coimbra;8;8;9;9;8;8;8;10;8;7;0;90878;214581;622555;608949;555012;549178;482878;340349;? ?;
16E0604: Condeixa-a-Nova;2;2;2;2;1;1;1;1;0;1;0;49110;42588;102377;106378;100441;91797;87659;0;? ?;
16E0605: Figueira da Foz;1;1;1;1;1;1;1;1;1;0;0;16701;11437;31844;36169;11459;21762;25804;? ?;0;
16E0606: Góis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E0607: Lousã;2;2;1;1;2;2;2;1;2;2;0;4701;? ?;? ?;? ?;5074;6021;2583;? ?;5038;
16E0111: Mealhada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E0608: Mira;0;0;0;0;1;1;1;1;1;1;0;0;0;0;9744;10373;11219;11104;? ?;12376;
16E0609: Miranda do Corvo;1;1;1;1;1;1;1;1;1;0;0;? ?;? ?;? ?;? ?;32637;? ?;? ?;? ?;0;
16E0610: Montemor-o-Velho;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;? ?;0;
16E1808: Mortágua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E0611: Oliveira do Hospital;2;1;1;1;1;1;1;1;0;1;0;1673;1611;6784;6343;2901;3098;? ?;0;2433;
16E0612: Pampilhosa da Serra;1;1;1;1;1;1;1;1;1;0;0;835;744;1910;2209;1690;? ?;? ?;? ?;0;
16E0613: Penacova;1;1;1;1;0;0;0;0;0;0;0;1244;? ?;? ?;0;0;0;0;0;0;
16E0614: Penela;1;1;1;1;1;1;1;1;1;1;0;2204;1350;9514;9039;9905;12556;8275;? ?;? ?;
16E0615: Soure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E0616: Tábua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16E0617: Vila Nova de Poiares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16F: Região de Leiria;17;18;19;19;17;13;12;14;15;15;0;198734;69904;205105;227035;185031;137566;185302;181628;169062;
16F1002: Alvaiázere;1;1;1;1;1;1;1;1;1;1;0;3968;3379;8203;7835;6240;7204;8732;? ?;9196;
16F1003: Ansião;1;1;1;1;1;1;1;1;1;1;0;3337;3944;8339;11760;8243;5766;? ?;? ?;9895;
16F1004: Batalha;1;1;1;1;1;1;1;1;1;1;0;3249;2443;5707;7158;5049;5699;5223;? ?;? ?;
16F1007: Castanheira de Pêra;0;1;1;1;1;1;1;1;1;1;0;? ?;? ?;2836;? ?;? ?;1653;1954;? ?;? ?;
16F1008: Figueiró dos Vinhos;1;1;1;1;1;0;0;0;0;0;0;3884;3581;? ?;3096;0;0;0;0;0;
